Codigo_SAP,Codigo_Litigio,Data_Abertura,Material,Nota_Fiscal,Data_Litigio,Status,Fornecedor
101384,2805267,18/4/2025,739105089R,000399374-1,16/04/25,NFL,FORNECEDOR
101384,2809211,24/4/2025,739105089R,000399622-1,22/04/25,NFL,FORNECEDOR
101384,2797777,10/4/2025,739105089R,000398694-1,08/04/25,NFL,FORNECEDOR
101384,2823791,9/5/2025,739105089R,000400713-1,07/05/25,NFL,FORNECEDOR
101384,2804136,17/4/2025,739105089R,000399278-1,15/04/25,NFL,FORNECEDOR
101384,2825311,10/5/2025,739105089R,000400819-1,08/05/25,NFL,FORNECEDOR
101384,2828406,14/5/2025,739105089R,000401169-1,13/05/25,NFL,FORNECEDOR
101384,2809237,24/4/2025,739105089R,000399664-1,22/04/25,NFL,FORNECEDOR
101384,2818322,1/5/2025,739105089R,000400225-1,29/04/25,NFL,FORNECEDOR
101384,2823698,9/5/2025,739105089R,000400620-1,06/05/25,NFL,FORNECEDOR
101384,2830363,16/5/2025,739105089R,000401278-1,14/05/25,NFL,FORNECEDOR
101384,2831699,17/5/2025,739105089R,000401415-1,15/05/25,NFL,FORNECEDOR
101384,2836512,23/5/2025,739105089R,000401936-1,21/05/25,NFL,FORNECEDOR
101384,2829387,15/5/2025,739105089R,000401232-1,13/05/25,NFL,FORNECEDOR
101384,2838132,24/5/2025,739105089R,000402071-1,22/05/25,NFL,FORNECEDOR
101384,2800260,11/4/2025,739105089R,398893-1,10/04/25,NFL,FORNECEDOR
101384,2835512,22/5/2025,739105089R,000401782-1,20/05/25,NFL,FORNECEDOR
101384,2810130,24/4/2025,739105089R,399722-1,23/04/25,NFL,FORNECEDOR
101384,2811806,26/4/2025,739105089R,399845-1,24/04/25,NFL,FORNECEDOR
101384,2841121,28/5/2025,739105089R,000402453-1,27/05/25,NFL,FORNECEDOR
124400,2825278,10/5/2025,743238788R,000468280-1,07/05/25,NFL,FORNECEDOR
104290,2840977,28/5/2025,755237722R,000062325-3,22/05/25,NFL,FORNECEDOR
104290,2840977,28/5/2025,756103395R,000062325-3,22/05/25,NFL,FORNECEDOR
137008,2795298,8/4/2025,762314906R,000053516-1,03/04/25,NFL,FORNECEDOR
130936,2808672,23/4/2025,749021165R,000048770-1,23/04/25,NFL,FORNECEDOR
130936,2808675,23/4/2025,749021165R,000048771-1,23/04/25,NFL,FORNECEDOR
110781,2800802,12/4/2025,738217174R,000129320-1,10/04/25,NFL,FORNECEDOR
102294,2790694,2/4/2025,749028808R,000207091-1,02/04/25,NFL,FORNECEDOR
102294,2793559,5/4/2025,749028808R,000207202-1,04/04/25,NFL,FORNECEDOR
102294,2810178,24/4/2025,749401051R,207704-1,23/04/25,NFL,FORNECEDOR
