Item_Fatura,Empresa,Centro,Data_Criacao,Fornecedor,Nome_Fornecedor,Doc_Compras,Item,Material,Descricao_Material,Referencia,Quantidade,Preço_Contrato,Preço_Fatura,Montante,Item_Contrato,Data_Emissao,Valor_NF_c/_Imposto,Valor_NF_s/_Imposto,ICMS,PIS,COFINS,ICMS_Diferido,IPI
1,483,SJP,3/4/2025,102318,FORNECEDOR,4508610810,10,620224263R,PEÇA,000240868-3,"50,000","159,80","168,34","427,00",10,3/4/2025,"R$ 185,50","R$ 168,34",0.0,"1,65","7,6",nan,nan
1,483,SJP,21/5/2025,102318,FORNECEDOR,4508698501,10,620224263R,PEÇA,000242075-3,"55,000","163,03","168,34","292,05",10,21/5/2025,"R$ 185,50","R$ 168,34",0.0,"1,65","7,6",nan,nan
1,483,SJP,26/5/2025,102318,FORNECEDOR,4508708485,10,620224263R,PEÇA,000242204-3,"220,000","163,03","168,34","1.168,20",10,26/5/2025,"R$ 185,50","R$ 168,34",0.0,"1,65","7,6",nan,nan
1,483,SJP,30/5/2025,102318,FORNECEDOR,4508714801,10,620224263R,PEÇA,000242312-003,"10,000","163,03","168,34","53,10",10,nan,"R$ 185,50","R$ 168,34",0.0,"1,65","7,6",nan,nan
4,483,FAS,1/4/2025,108060,FORNECEDOR,4508598899,90,620224709R,PEÇA,000046964-3,"6,000","201,93","205,00","18,42",2020,28/3/2025,"R$ 225,90","R$ 205,00",0.0,"1,65","7,6",nan,nan
8,483,FAS,1/4/2025,108060,FORNECEDOR,4508599229,100,620224709R,PEÇA,000046966-3,"1,000","201,93","205,00","3,07",2020,28/3/2025,"R$ 225,90","R$ 205,00",0.0,"1,65","7,6",nan,nan
4,483,FAS,1/4/2025,108060,FORNECEDOR,4508599624,90,620224709R,PEÇA,000046970-3,"3,000","201,93","205,00","9,21",2020,28/3/2025,"R$ 225,90","R$ 205,00",0.0,"1,65","7,6",nan,nan
4,483,FAS,1/4/2025,108060,FORNECEDOR,4508599667,70,620224709R,PEÇA,000046972-3,"3,000","201,93","205,00","9,21",2020,28/3/2025,"R$ 225,90","R$ 205,00",0.0,"1,65","7,6",nan,nan
7,483,FAS,3/4/2025,108060,FORNECEDOR,4508604769,80,620224709R,PEÇA,000047015-3,"1,000","201,93","205,00","3,07",2020,1/4/2025,"R$ 225,90","R$ 205,00",0.0,"1,65","7,6",nan,nan
4,483,FAS,1/4/2025,108060,FORNECEDOR,4508605054,70,620224709R,PEÇA,000047019-3,"1,000","201,93","205,00","3,07",2020,1/4/2025,"R$ 225,90","R$ 205,00",0.0,"1,65","7,6",nan,nan
4,483,FAS,3/4/2025,108060,FORNECEDOR,4508605928,80,620224709R,PEÇA,000047026-3,"2,000","201,93","205,00","6,14",2020,2/4/2025,"R$ 225,90","R$ 205,00",0.0,"1,65","7,6",nan,nan
9,483,FAS,3/4/2025,108060,FORNECEDOR,4508608222,100,620224709R,PEÇA,000047033-3,"2,000","201,93","205,00","6,14",2020,2/4/2025,"R$ 225,90","R$ 205,00",0.0,"1,65","7,6",nan,nan
8,483,FAS,3/4/2025,108060,FORNECEDOR,4508607532,90,620224709R,PEÇA,000047039-3,"2,000","201,93","205,00","6,14",2020,2/4/2025,"R$ 225,90","R$ 205,00",0.0,"1,65","7,6",nan,nan
7,483,FAS,3/4/2025,108060,FORNECEDOR,4508609109,80,620224709R,PEÇA,000047044-3,"1,000","201,93","205,00","3,07",2020,3/4/2025,"R$ 225,90","R$ 205,00",0.0,"1,65","7,6",nan,nan
8,483,FAS,4/4/2025,108060,FORNECEDOR,4508609027,110,620224709R,PEÇA,000047046-3,"1,000","201,93","205,00","3,07",2020,3/4/2025,"R$ 225,90","R$ 205,00",0.0,"1,65","7,6",nan,nan
4,483,FAS,4/4/2025,108060,FORNECEDOR,4508608910,70,620224709R,PEÇA,000047047-3,"1,000","201,93","205,00","3,07",2020,3/4/2025,"R$ 225,90","R$ 205,00",0.0,"1,65","7,6",nan,nan
8,483,FAS,4/4/2025,108060,FORNECEDOR,4508609396,110,620224709R,PEÇA,000047053-3,"2,000","201,93","205,00","6,14",2020,3/4/2025,"R$ 225,90","R$ 205,00",0.0,"1,65","7,6",nan,nan
5,483,FAS,4/4/2025,108060,FORNECEDOR,4508609577,80,620224709R,PEÇA,000047055-3,"3,000","201,93","205,00","9,21",2020,3/4/2025,"R$ 225,90","R$ 205,00",0.0,"1,65","7,6",nan,nan
4,483,FAS,4/4/2025,108060,FORNECEDOR,4508609819,80,620224709R,PEÇA,000047057-3,"1,000","201,93","205,00","3,07",2020,3/4/2025,"R$ 225,90","R$ 205,00",0.0,"1,65","7,6",nan,nan
4,483,FAS,4/4/2025,108060,FORNECEDOR,4508611849,50,620224709R,PEÇA,000047061-3,"1,000","201,93","205,00","3,07",2020,4/4/2025,"R$ 225,90","R$ 205,00",0.0,"1,65","7,6",nan,nan
8,483,FAS,4/4/2025,108060,FORNECEDOR,4508610066,100,620224709R,PEÇA,000047062-3,"1,000","201,93","205,00","3,07",2020,4/4/2025,"R$ 225,90","R$ 205,00",0.0,"1,65","7,6",nan,nan
9,483,FAS,4/4/2025,108060,FORNECEDOR,4508610403,100,620224709R,PEÇA,000047064-3,"2,000","201,93","205,00","6,14",2020,4/4/2025,"R$ 225,90","R$ 205,00",0.0,"1,65","7,6",nan,nan
8,483,FAS,4/4/2025,108060,FORNECEDOR,4508610741,80,620224709R,PEÇA,000047066-3,"2,000","201,93","205,00","6,14",2020,4/4/2025,"R$ 225,90","R$ 205,00",0.0,"1,65","7,6",nan,nan
7,483,FAS,4/4/2025,108060,FORNECEDOR,4508611056,100,620224709R,PEÇA,000047070-3,"1,000","201,93","205,00","3,07",2020,4/4/2025,"R$ 225,90","R$ 205,00",0.0,"1,65","7,6",nan,nan
